label,channel,markers,trafficType,movements
SB,6,"[{""center"":{""latitude"":43.408319203428775,""longitude"":-80.32830566567611},""size"":6.0,""angle"":2.9052756,""type"":""thru""}]",VEHICLE,"[{'type': 'THRU', 'movementLaneCount': 3, 'street': 'Hespeler Rd.', 'label': 'SB THRU', 'approach': 'SB', 'approachPriority': 'MAJOR', 'protectedState': 'PROTECTED', 'approachNominalSpeed': 70}]"
Ped 4,20,[],PEDESTRIAN,[]
Ped 8,24,[],PEDESTRIAN,[]
EB Left,3,"[{""center"":{""latitude"":43.407947027135855,""longitude"":-80.32853633565139},""size"":6,""angle"":1.3730252,""type"":""left"",""id"":""9c41533b-d213-4afd-8f74-7f3a3d63e3fc"",""editable"":true,""configId"":""3225a3fe-1ea5-11e6-9dee-06fe99c4b64f"",""state"":""inactive""}]",VEHICLE,"[{'type': 'LT', 'movementLaneCount': 2, 'street': 'Eagle St. N.', 'label': 'EB LT', 'approach': 'EB', 'approachPriority': 'MINOR', 'protectedState': 'PROTECTED', 'approachNominalSpeed': 50}]"
NB Left,5,"[{""center"":{""latitude"":43.40768396927284,""longitude"":-80.32800794047546},""size"":6,""angle"":-0.22135483,""type"":""left"",""id"":""0f8f2b73-e7f4-4ec2-a8ed-a33bd4130fba"",""editable"":true,""configId"":""32187073-1ea5-11e6-9dee-06fe99c4b64f"",""state"":""inactive""}]",VEHICLE,"[{'type': 'LT', 'movementLaneCount': 1, 'street': 'Hespeler Rd.', 'label': 'NB LT', 'approach': 'NB', 'approachPriority': 'MAJOR', 'protectedState': 'PROTECTED', 'approachNominalSpeed': 70}]"
Overlap D,36,[],VEHICLE,[]
WB,4,"[{""center"":{""latitude"":43.40816721546121,""longitude"":-80.32762706679534},""size"":6.0,""angle"":-1.810274,""type"":""thru""}]",VEHICLE,"[{'type': 'RT', 'movementLaneCount': 1, 'street': 'Pinebush Rd.', 'label': 'WB RT', 'approach': 'WB', 'approachPriority': 'MINOR', 'protectedState': 'PROTECTED', 'approachNominalSpeed': 50}, {'type': 'THRU', 'movementLaneCount': 2, 'street': 'Pinebush Rd.', 'label': 'WB THRU', 'approach': 'WB', 'approachPriority': 'MINOR', 'protectedState': 'PROTECTED', 'approachNominalSpeed': 50}]"
EB,8,"[{""center"":{""latitude"":43.40789636420293,""longitude"":-80.32852560681533},""size"":6.0,""angle"":1.3789448,""type"":""thru""}]",VEHICLE,"[{'type': 'THRU', 'movementLaneCount': 2, 'street': 'Eagle St. N.', 'label': 'EB THRU', 'approach': 'EB', 'approachPriority': 'MINOR', 'protectedState': 'PROTECTED', 'approachNominalSpeed': 50}]"
WB Left,7,"[{""center"":{""latitude"":43.40811070702581,""longitude"":-80.32760560912322},""size"":6,""angle"":-1.8094687,""type"":""left"",""id"":""2efe228c-5da0-4d01-81a6-0406c87a2134"",""editable"":true,""configId"":""324896ba-1ea5-11e6-9dee-06fe99c4b64f"",""state"":""inactive""}]",VEHICLE,"[{'type': 'LT', 'movementLaneCount': 2, 'street': 'Pinebush Rd.', 'label': 'WB LT', 'approach': 'WB', 'approachPriority': 'MINOR', 'protectedState': 'PROTECTED', 'approachNominalSpeed': 50}]"
Ped 2,18,[],PEDESTRIAN,[]
Overlap A,33,[],VEHICLE,[]
NB,2,"[{""center"":{""latitude"":43.40770345504199,""longitude"":-80.32789260548782},""size"":6,""angle"":-0.2469249,""type"":""thru"",""id"":""27ca9107-545b-40ed-8c34-75161277e62f"",""editable"":true,""configId"":""321ee244-1ea5-11e6-9dee-06fe99c4b64f"",""state"":""inactive""}]",VEHICLE,"[{'type': 'THRU', 'movementLaneCount': 3, 'street': 'Hespeler Rd.', 'label': 'NB THRU', 'approach': 'NB', 'approachPriority': 'MAJOR', 'protectedState': 'PROTECTED', 'approachNominalSpeed': 70}, {'type': 'RT', 'movementLaneCount': 1, 'street': 'Hespeler Rd.', 'label': 'NB RT', 'approach': 'NB', 'approachPriority': 'MAJOR', 'protectedState': 'PROTECTED', 'approachNominalSpeed': 70}]"
Ped 6,22,[],PEDESTRIAN,[]
Overlap B,34,[],VEHICLE,[]
SB Left,1,"[{""center"":{""latitude"":43.408328946244055,""longitude"":-80.32821178836059},""size"":6,""angle"":2.947071,""type"":""left"",""id"":""390758a3-1528-45c4-b102-862f679cf3a6"",""editable"":true,""configId"":""320a9e25-1ea5-11e6-9dee-06fe99c4b64f"",""state"":""inactive""}]",VEHICLE,"[{'type': 'LT', 'movementLaneCount': 2, 'street': 'Hespeler Rd.', 'label': 'SB LT', 'approach': 'SB', 'approachPriority': 'MAJOR', 'protectedState': 'PROTECTED', 'approachNominalSpeed': 70}]"
Overlap C,35,[],VEHICLE,[]
